20230108	14:11:10	12faf400-1c6c-4aaf-ab6d-f5f910cff0a9	GET	undefined	/css/style.css}
20230108	14:11:11	339dab4c-daa3-465a-aba5-3ba46c91b67a	GET	undefined	/css/style.css}
20230108	15:30:41	b335f849-5bc0-4aa2-af68-bec7332493cc	GET	undefined	/employees}
20230108	15:30:41	f509cbf4-0a95-498a-8097-9def25987329	GET	undefined	/css/style.css}
20230108	15:33:02	165ae3cf-6e1b-4738-82ff-e416d9096a50	GET	undefined	/employees}
20230108	15:33:11	001ad8c3-9b06-4b41-ad7f-e491dc530032	GET	undefined	/employees}
20230108	15:34:03	cb9c00f8-7e3f-4fa0-aa96-6b2e1825b295	GET	undefined	/employees}
20230108	15:34:45	98ee4b91-0f5d-49f3-bfe4-bc62b8e5d111	GET	undefined	/employees}
20230108	15:35:28	1a81bf1e-834e-46ae-9dbf-2f79388510c7	POST	undefined	/employees}
20230108	15:36:08	3db36a9d-0f61-43b9-aec1-5a84f1f4b2c4	GET	undefined	/employees}
20230108	15:47:18	8b550df8-18e8-4ec2-af5f-29c23b030582	PUT	undefined	/employees}
20230108	15:47:41	6a41be62-4bef-4c67-b8f2-53c094066915	DELETE	undefined	/employees}
20230108	15:48:07	0665f03a-fb0a-40ee-88fe-ad613811c765	GET	undefined	/employees/1}
20230109	01:51:15	31b92723-438d-4766-8345-c23dd0e41db5	GET	undefined	/}
20230109	01:51:15	6afe420f-6fa6-45c6-bcdb-b82fece00be1	GET	undefined	/css/style.css}
20230109	01:54:03	2c724db0-6784-4121-8df4-6eeb81f8c9f4	GET	undefined	/}
20230109	01:54:03	bce91523-40da-47f8-98d1-320965cc31a3	GET	undefined	/login.html}
20230109	01:54:03	542c6fef-f0c6-4160-b3c1-dc6b3509faaa	GET	undefined	/assets/vendor/bootstrap/css/bootstrap.min.css}
20230109	01:54:03	e525035a-f116-4ae2-a30e-2e6440255ae3	GET	undefined	/assets/vendor/bootstrap-icons/bootstrap-icons.css}
20230109	01:54:03	df5e7fe2-a070-47b2-9c1a-2daf99b98c46	GET	undefined	/assets/vendor/boxicons/css/boxicons.min.css}
20230109	01:54:03	c8851593-dcf3-4c0c-83b7-aaa4843565de	GET	undefined	/assets/vendor/quill/quill.snow.css}
20230109	01:54:03	615e83f6-ead4-4972-a911-e30a890a9eb0	GET	undefined	/assets/vendor/remixicon/remixicon.css}
20230109	01:54:03	c924ce6c-c62c-4ca7-ad0e-cdaeebc53e17	GET	undefined	/assets/vendor/quill/quill.bubble.css}
20230109	01:54:03	e02dc62d-f7f5-42ef-a146-f154dc095646	GET	undefined	/assets/vendor/simple-datatables/style.css}
20230109	01:54:03	bba16039-cb47-4558-8d83-5769615953ac	GET	undefined	/assets/css/style.css}
20230109	01:54:03	945d7c97-64fd-4110-9d79-e8f02bfba886	GET	undefined	/assets/vendor/apexcharts/apexcharts.min.js}
20230109	01:54:03	f41d8fde-845b-4db8-9293-8324ef5cdf77	GET	undefined	/assets/vendor/bootstrap/js/bootstrap.bundle.min.js}
20230109	01:54:03	27b3998e-fa00-4da1-acbd-c85ce9ebed26	GET	undefined	/assets/vendor/chart.js/chart.umd.js}
20230109	01:54:03	a601c8d5-f162-4146-8803-ae73264df584	GET	undefined	/assets/vendor/echarts/echarts.min.js}
20230109	01:54:03	6e31b74b-a6be-42dd-a90a-b61a9e8b2643	GET	undefined	/assets/vendor/quill/quill.min.js}
20230109	01:54:03	4ecbc615-271e-438c-b1c4-61ea4fd129cf	GET	undefined	/assets/vendor/simple-datatables/simple-datatables.js}
20230109	01:54:03	90554ec9-6072-4d97-90fd-ed70b69faf40	GET	undefined	/assets/vendor/tinymce/tinymce.min.js}
20230109	01:54:03	27696b20-7061-4223-a560-5bbe719222cf	GET	undefined	/assets/vendor/php-email-form/validate.js}
20230109	01:54:03	1ec03eb9-2eba-4532-9cf3-c3fdef166d34	GET	undefined	/assets/js/main.js}
20230109	01:54:03	48c2362a-6187-453b-8dc5-b9d4146dfe61	GET	undefined	/assets/img/logo.png}
20230109	01:54:03	fa11d98a-bcc1-44e7-a090-1692160936ed	GET	undefined	/assets/img/favicon.png}
20230109	01:54:03	ad6cda5d-f96a-4438-a095-c5a2f0a715b5	GET	undefined	/assets/img/favicon.png}
20230109	01:54:05	51290928-2c45-4bc0-b5b3-62e0aef9893a	GET	undefined	/login.html}
20230109	01:54:05	396a8876-d72b-466b-b29f-559f2236aec5	GET	undefined	/assets/vendor/bootstrap/css/bootstrap.min.css}
20230109	01:54:05	4a48a519-c601-44d1-b8e2-dd8fbc3ea212	GET	undefined	/assets/vendor/bootstrap-icons/bootstrap-icons.css}
20230109	01:54:05	c8cd261f-3fcb-4fc6-a79f-39fa7b31444a	GET	undefined	/assets/vendor/boxicons/css/boxicons.min.css}
20230109	01:54:05	621619e0-de52-4772-b0a8-7fd025e70078	GET	undefined	/assets/vendor/quill/quill.snow.css}
20230109	01:54:05	f3ebb52c-cc15-4de4-8cdf-61b5ee9ae787	GET	undefined	/assets/vendor/quill/quill.bubble.css}
20230109	01:54:05	bdf37af7-77af-4c21-972c-a06c7bdf384d	GET	undefined	/assets/vendor/remixicon/remixicon.css}
20230109	01:54:05	dd5b4077-9e0c-4c59-b231-7af0deec1cb8	GET	undefined	/assets/vendor/simple-datatables/style.css}
20230109	01:54:05	3c191922-5e84-408e-a51e-440059b44b0a	GET	undefined	/assets/css/style.css}
20230109	01:54:05	b31518d6-89d1-4aba-9aaf-0713f8b3091a	GET	undefined	/assets/vendor/apexcharts/apexcharts.min.js}
20230109	01:54:05	4be1bac9-a0a4-4084-9db7-0421b9f1c0ca	GET	undefined	/assets/vendor/bootstrap/js/bootstrap.bundle.min.js}
20230109	01:54:05	c78d9f8a-abe4-45ee-8aa0-9768c6033150	GET	undefined	/assets/vendor/chart.js/chart.umd.js}
20230109	01:54:05	08756827-9d8f-4244-9365-f62ca906dadc	GET	undefined	/assets/vendor/echarts/echarts.min.js}
20230109	01:54:05	fd748eab-5853-49bd-9e39-f39a66d9348a	GET	undefined	/assets/vendor/quill/quill.min.js}
20230109	01:54:05	6fde1ffa-ff1a-48b7-85df-bbe7fd0264f3	GET	undefined	/assets/vendor/simple-datatables/simple-datatables.js}
20230109	01:54:05	c00d92cd-76e0-47cf-bb4c-36011cc8cce8	GET	undefined	/assets/vendor/tinymce/tinymce.min.js}
20230109	01:54:05	75fbcc51-4b02-4df7-b884-132bfcae8977	GET	undefined	/assets/vendor/php-email-form/validate.js}
20230109	01:54:05	f6c28d6d-fd41-4610-bb65-0a757a4bbb67	GET	undefined	/assets/js/main.js}
20230109	01:54:05	6bd37ca7-9f79-4ae2-aacd-0931626e312a	GET	undefined	/assets/img/logo.png}
20230109	01:54:05	e612b741-0fed-4c3d-9658-736cc6798e52	GET	undefined	/assets/img/favicon.png}
20230109	01:54:05	32e74c73-bb9a-4b5d-86f6-a44e6ab3f59c	GET	undefined	/login.html}
20230109	01:54:05	22b3e7f6-3da0-4ac8-9a0f-b6ee195ceefd	GET	undefined	/assets/vendor/bootstrap/css/bootstrap.min.css}
20230109	01:54:05	3042a5f2-d456-40c6-9549-9686d3d1863f	GET	undefined	/assets/vendor/bootstrap-icons/bootstrap-icons.css}
20230109	01:54:05	3a549ce6-b0fb-48d6-9dd7-e9e30270be5c	GET	undefined	/assets/vendor/boxicons/css/boxicons.min.css}
20230109	01:54:05	3f4cd8d4-c80a-4c33-ad64-adfd5abdd876	GET	undefined	/assets/vendor/quill/quill.snow.css}
20230109	01:54:05	e1273cf7-ff6f-4e49-aecc-e1f570f2e6bd	GET	undefined	/assets/vendor/quill/quill.bubble.css}
20230109	01:54:05	a011878d-62f1-4dcd-84ce-119f4f8309fd	GET	undefined	/assets/vendor/remixicon/remixicon.css}
20230109	01:54:05	adccbebd-dea9-4aa2-9db0-33b61c78a169	GET	undefined	/assets/vendor/simple-datatables/style.css}
20230109	01:54:05	a5cfd13a-e45a-481b-b291-107f71e4a208	GET	undefined	/assets/css/style.css}
20230109	01:54:05	8682c436-0010-47a4-a0b5-93bc190772b7	GET	undefined	/assets/vendor/apexcharts/apexcharts.min.js}
20230109	01:54:05	99d77781-f9ec-46e1-a382-d105122d1637	GET	undefined	/assets/vendor/bootstrap/js/bootstrap.bundle.min.js}
20230109	01:54:05	bc84543c-e152-43d1-89d5-2f28caec10ad	GET	undefined	/assets/vendor/chart.js/chart.umd.js}
20230109	01:54:05	9a3b4568-887e-46d6-b1ad-414a13ccde1c	GET	undefined	/assets/vendor/echarts/echarts.min.js}
20230109	01:54:05	58ee5817-f636-44a4-89f5-ef619b77eaa0	GET	undefined	/assets/vendor/quill/quill.min.js}
20230109	01:54:05	51fed7de-53a9-44c8-8f3b-8436d4920f3a	GET	undefined	/assets/vendor/simple-datatables/simple-datatables.js}
20230109	01:54:06	83e79165-ccf7-4845-bd55-a8abdb7ef8d4	GET	undefined	/assets/vendor/tinymce/tinymce.min.js}
20230109	01:54:06	344420d1-b239-4a84-92c2-c1930fc8c3ec	GET	undefined	/assets/vendor/php-email-form/validate.js}
20230109	01:54:06	02620c30-238a-4ec7-b717-40e478a69ab0	GET	undefined	/assets/js/main.js}
20230109	01:54:06	aa64d44c-12ae-421b-9b49-3c30b6420b48	GET	undefined	/assets/img/logo.png}
20230109	01:54:06	75629c57-3e23-44fb-b4dc-5ea9c1ca804c	GET	undefined	/assets/img/favicon.png}
20230109	01:55:18	4e2abe9b-8376-4ae7-84ed-1de47665c5e7	GET	undefined	/login.html}
20230109	01:55:18	6a8aa646-db09-4fcb-8d81-c08544e2b655	GET	undefined	/assets/vendor/bootstrap/css/bootstrap.min.css}
20230109	01:55:18	b113a090-b156-4d52-abbb-bed3619bb2d2	GET	undefined	/assets/vendor/bootstrap-icons/bootstrap-icons.css}
20230109	01:55:18	36488149-99e1-40ab-a85c-8377b5f07897	GET	undefined	/assets/vendor/boxicons/css/boxicons.min.css}
20230109	01:55:18	e648703d-6dc3-4c7f-9d39-0a1d3e476e95	GET	undefined	/assets/vendor/quill/quill.snow.css}
20230109	01:55:18	f8b34e46-bb1e-44c0-98a9-841feae94ed0	GET	undefined	/assets/vendor/quill/quill.bubble.css}
20230109	01:55:18	7d17ab27-0c65-4ea7-94be-12123aaed8f1	GET	undefined	/assets/vendor/remixicon/remixicon.css}
20230109	01:55:18	1f9497b0-732c-476e-bdc2-01fb14d3f8e4	GET	undefined	/assets/vendor/simple-datatables/style.css}
20230109	01:55:18	be58c053-9715-4ef5-9733-32963dae91dc	GET	undefined	/assets/css/style.css}
20230109	01:55:18	3dbf5982-8336-43b3-91b7-d5ece5873258	GET	undefined	/assets/vendor/apexcharts/apexcharts.min.js}
20230109	01:55:18	9cce20df-aa39-4712-9d70-64f82aae1823	GET	undefined	/assets/vendor/bootstrap/js/bootstrap.bundle.min.js}
20230109	01:55:18	77e53203-c1f9-4f24-bfdd-9d179958fa23	GET	undefined	/assets/vendor/chart.js/chart.umd.js}
20230109	01:55:18	68715118-deb1-48ff-ab0e-1bd611c9051e	GET	undefined	/assets/vendor/echarts/echarts.min.js}
20230109	01:55:18	4c3dd175-5d9e-420f-8d6a-f4892a7a6ee9	GET	undefined	/assets/vendor/quill/quill.min.js}
20230109	01:55:18	947754e6-35ce-4d61-807c-34849873f19c	GET	undefined	/assets/vendor/simple-datatables/simple-datatables.js}
20230109	01:55:18	89161348-7d60-424f-97b8-15327f3164fb	GET	undefined	/assets/vendor/tinymce/tinymce.min.js}
20230109	01:55:18	a17bf8cb-a6c5-444f-a46c-6680e110fc8d	GET	undefined	/assets/vendor/php-email-form/validate.js}
20230109	01:55:18	ec349ce3-676e-4095-aa06-00d20359ed23	GET	undefined	/assets/js/main.js}
20230109	01:55:18	bc0e3b77-8aa2-4311-af8e-baa0d219c7d1	GET	undefined	/assets/img/logo.png}
20230109	01:55:18	b810fdf2-a9fc-45d5-a0d7-97060f945702	GET	http://localhost:3500	/assets/vendor/bootstrap-icons/fonts/bootstrap-icons.woff2?24e3eb84d0bcaf83d77f904c78ac1f47}
20230109	01:55:19	138417ea-d27d-4300-8fa5-2814861777dd	GET	undefined	/assets/img/favicon.png}
20230109	02:00:24	9bcdd61c-686f-4ab2-924b-51c95c3a2a28	GET	undefined	/ss}
20230109	02:00:24	1cc87945-d35f-482a-a445-3fc13c005a17	GET	undefined	/assets/vendor/bootstrap/css/bootstrap.min.css}
20230109	02:00:24	a83247f6-4550-4e43-8bf1-e7c222593e67	GET	undefined	/assets/vendor/bootstrap-icons/bootstrap-icons.css}
20230109	02:00:24	5ae2d0d0-1fd6-4fa5-9d9f-1317b02d465b	GET	undefined	/assets/vendor/boxicons/css/boxicons.min.css}
20230109	02:00:24	4b3e11a1-d1e0-401a-b753-56385b26cec0	GET	undefined	/assets/vendor/quill/quill.snow.css}
20230109	02:00:24	138109e0-722a-4371-9481-0553a52b7998	GET	undefined	/assets/vendor/quill/quill.bubble.css}
20230109	02:00:24	0095add5-b320-495c-9448-df09069de6f6	GET	undefined	/assets/vendor/remixicon/remixicon.css}
20230109	02:00:24	df3589bf-4eb3-4e3c-8659-91613937704f	GET	undefined	/assets/vendor/simple-datatables/style.css}
20230109	02:00:24	91e11ea7-e749-48a3-a995-1086146432bc	GET	undefined	/assets/css/style.css}
20230109	02:00:24	e4509b8d-4049-4b0e-9e0e-33aceba224e7	GET	undefined	/assets/vendor/apexcharts/apexcharts.min.js}
20230109	02:00:24	0bc2c1ee-0dc6-4b6d-8234-c23bc49cb7f4	GET	undefined	/assets/vendor/bootstrap/js/bootstrap.bundle.min.js}
20230109	02:00:24	fe5e06f0-6d8f-4915-9c19-ab71726461b4	GET	undefined	/assets/vendor/chart.js/chart.umd.js}
20230109	02:00:24	ff31dea6-0a21-47f8-90aa-a0ec667d2397	GET	undefined	/assets/vendor/echarts/echarts.min.js}
20230109	02:00:24	979e3b98-4928-4932-a724-f216ecf669b6	GET	undefined	/assets/vendor/quill/quill.min.js}
20230109	02:00:24	3129c775-7ff0-4790-92fa-70abc6e3be13	GET	undefined	/assets/vendor/simple-datatables/simple-datatables.js}
20230109	02:00:24	df8fb2a3-e4e8-425e-98a7-d3888b46d6c1	GET	undefined	/assets/img/not-found.svg}
20230109	02:00:24	09da9e29-16c7-4a2d-8364-39289ddb2485	GET	undefined	/assets/vendor/tinymce/tinymce.min.js}
20230109	02:00:24	2f2ed601-34c7-487a-a63d-209ab906ff89	GET	undefined	/assets/vendor/php-email-form/validate.js}
20230109	02:00:24	17106972-e51b-45fe-8e29-1a8fcc3844e1	GET	undefined	/assets/js/main.js}
20230109	02:00:24	6d53c1d9-db91-4e3c-9bfe-46fd5a4ba3ef	GET	http://localhost:3500	/assets/vendor/bootstrap-icons/fonts/bootstrap-icons.woff2?24e3eb84d0bcaf83d77f904c78ac1f47}
20230109	02:00:24	61d8184d-9556-4979-9344-d36ee90c8eb4	GET	undefined	/assets/img/favicon.png}
20230109	02:00:35	62061c68-fbb4-42f8-b78a-97745ba9c5d0	GET	undefined	/login.html}
20230109	02:00:35	07f48557-1843-413d-b2be-5beb602446b9	GET	undefined	/assets/vendor/bootstrap/css/bootstrap.min.css}
20230109	02:00:35	92e2d753-08de-4188-a7d0-e5e93004f041	GET	undefined	/assets/vendor/bootstrap-icons/bootstrap-icons.css}
20230109	02:00:35	11be14cb-3208-400a-b29f-d04a71a35030	GET	undefined	/assets/vendor/boxicons/css/boxicons.min.css}
